用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
21368,shen8888,134934,The Road Of Light 2018 WEB-DL 4k H265 AAC-HDSWEB,诚忠堂 全40集 | 主演：张博 童瑶,46.96GB,HDSWEB,剧集（合集）,4k/2160p,,,40,,,2020-05-01 11:08:15,60000,,,2020-05-11 23:47:55.831135
21368,shen8888,134986,Demons And Gods 2017 WEB-DL 4k H265 AAC-HDSWEB,妖神记 全80集,17.35GB,HDSWEB,动漫,4k/2160p,,,80,,,2020-05-01 23:03:22,120000,,,2020-05-11 23:47:55.831135
21368,shen8888,134987,Da Song Ti Xing Guan2 2006 WEB-DL 4k H265 AAC-HDSWEB,大宋提刑官第二部  全41集 | 主演: 王庆祥 陶泽如,44.53GB,HDSWEB,剧集（合集）,4k/2160p,,,41,,,2020-05-01 23:09:54,61500,,,2020-05-11 23:47:55.831135
21368,shen8888,135055, Doraemon 2017 WEB-DL 4k H265 AAC-HDSWEB,哆啦A梦第5季 全104集,24.67GB,HDSWEB,动漫,4k/2160p,,,104,,,2020-05-02 12:41:18,156000,,,2020-05-11 23:47:55.831135
21368,shen8888,135127,Truth And Trust 2015 WEB-DL 4k H265 AAC-HDSWEB,后海不是海 全40集 | 主演：张嘉译 倪大红,52.01GB,HDSWEB,剧集（合集）,4k/2160p,,,40,,,2020-05-02 22:48:49,60000,,,2020-05-11 23:47:55.831135
21368,shen8888,135130,Zombie Dumb 2016 WEB-DL 4k H265 AAC-HDSWEB,逗比僵尸第1季 全60集,6.36GB,HDSWEB,动漫,4k/2160p,,,60,,,2020-05-02 23:19:03,90000,,,2020-05-11 23:47:55.831135
21368,shen8888,135194,Zombie Dumb 2018 WEB-DL 4k H265 AAC-HDSWEB,逗比僵尸第2季 全52集,8.21GB,HDSWEB,动漫,4k/2160p,,,52,,,2020-05-03 15:27:13,78000,,,2020-05-11 23:47:55.831135
21368,shen8888,135233,The Golden Water Bridge 2016 WEB-DL 4k H265 AAC-HDSWEB,金水桥边 全52集 主演:黄志忠 倪大红 李乃文,69.57GB,HDSWEB,剧集（合集）,4k/2160p,,,52,,,2020-05-03 23:21:24,78000,,,2020-05-11 23:47:55.831135
21368,shen8888,135302,BLEACH 2004 WEB-DL 4k H265 AAC-HDSWEB,死神 全366集,160.73GB,HDSWEB,动漫,4k/2160p,,,366,,,2020-05-04 16:50:41,549000,,,2020-05-11 23:47:55.831135
21368,shen8888,135461,Transformers 1984-1987 WEB-DL 4k H265 AAC-HDSWEB,变形金刚第一代合集 全99集 | 【经典】,69.57GB,HDSWEB,动漫,4k/2160p,,,99,,,2020-05-05 23:23:14,148500,,,2020-05-11 23:47:55.831135
21368,shen8888,135497,Hikaru No Go 2001 WEB-DL 4k H265 AAC-HDSWEB,棋魂 全75集 | 【经典】,39.19GB,HDSWEB,动漫,4k/2160p,,,77,,,2020-05-06 11:18:02,115500,,,2020-05-11 23:47:55.831135
21368,shen8888,135561,Lion King Lyon 2014 WEB-DL 4k H265 AAC-HDSWEB,狮子王里昂 全52集,4.34GB,HDSWEB,动漫,4k/2160p,,,52,,,2020-05-06 22:01:41,78000,,,2020-05-11 23:47:55.831135
21368,shen8888,135655,Transformers Cybertron 2005 WEB-DL 4k H265 AAC-HDSWEB,变形金刚赛博坦之谜 全52集,35.23GB,HDSWEB,动漫,4k/2160p,,,52,,,2020-05-07 13:36:54,78000,,,2020-05-11 23:47:55.831135
21368,shen8888,135716,Transformers Rescue Bots 2014 WEB-DL 4k H265 AAC-HDSWEB,变形金刚救援机器人第1季 全26集,16.26GB,HDSWEB,动漫,4k/2160p,,,26,,,2020-05-07 21:29:18,39000,,,2020-05-11 23:47:55.832132
